gene_symbol,TargetSpecies_Count,Reference_Count
PHLPP2,1,1
PI4K2B,1,1
PI4KA,1,1
PICALM,1,1
PIGA,1,1
PIGK,1,1
PIGN,1,1
PIGR,1,1
PIGV,1,1
PIK3AP1,1,1
PIK3C2G,1,1
PIK3R1,1,1
PIN1,1,1
PIP5K1C,1,1
PKD2L2,1,1
PKDCC,1,1
PKHD1,1,1
PKHD1L1,1,1
PKIG,1,1
PKN3,1,1
PLA1A,1,1
PLA2G10,1,1
PLA2G12B,1,1
PLA2G3,1,1
PLA2G4B,1,1
PLA2G4D,1,1
PLA2G4E,1,1
PLA2R1,1,1
PLAA,1,1
PLAT,1,1
PLBD1,1,1
PLCE1,1,1
PLCH1,1,1
PLCH2,1,1
PLCXD2,1,1
PLCZ1,1,1
PLD2,1,1
PLEK2,1,1
PLEKHA6,1,1
PLEKHA8,1,1
PLEKHG2,1,1
PLEKHG4,1,1
PLEKHH1,1,1
PLEKHJ1,1,1
PLG,1,1
PLK5,1,1
PLP2,1,1
PLPP1,1,1
PLSCR4,1,1
PLVAP,1,1
PLXNA3,1,1
PLXNC1,1,1
PMEPA1,1,1
PMF1,1,1
PMFBP1,1,1
PMS2,1,1
PNLDC1,1,1
PNLIP,1,1
PNLIPRP1,1,1
PNPLA1,1,1
PNPLA8,1,1
POC5,1,1
POGLUT2,1,1
POLA1,1,1
POLD1,1,1
POLE,1,1
POLH,1,1
POLK,1,1
POLR2H,1,1
POLRMT,1,1
POMGNT2,1,1
POMT1,1,1
PON1,1,1
POT1,1,1
POU3F3,1,1
POU5F1,1,1
POU5F2,1,1
PPAN,1,1
PPAN-P2RY11,1,1
PPARA,1,1
PPARG,1,1
PPARGC1A,1,1
PPARGC1B,1,1
PPCDC,1,1
PPIL1,1,1
PPIL6,1,1
PPIP5K1,1,1
PPP1R13B,1,1
PPP1R1A,1,1
PPP1R32,1,1
PPP1R36,1,1
PPP1R3A,1,1
PPP1R3C,1,1
PPP1R3D,1,1
PPP1R3E,1,1
PPP1R3G,1,1
PPP1R42,1,1
PPP2R1B,1,1
PPP2R3A,1,1
PPP4R1,1,1
PPRC1,1,1
PQLC2,1,1
PRC1,1,1
PRDM2,1,1
PREX1,1,1
PRF1,1,1
PRKACA,1,1
PRKAG3,1,1
PRKAR1A,1,1
PRL,1,1
PRMT9,1,1
PROCA1,1,1
PROCR,1,1
PROSER1,1,1
PROSER2,1,1
PROSER3,1,1
PROZ,1,1
PRPF4,1,1
PRR11,1,1
PRR14,1,1
PRR14L,1,1
PRR30,1,1
PRR5,1,1
PRRT3,1,1
PRSS23,1,1
PRSS35,1,1
PRSS53,1,1
PRTG,1,1
PRUNE2,1,1
PSAP,1,1
PSBG9,1,1
PSD4,1,1
PSG5,1,1
PSMC3IP,1,1
PSMG2,1,1
PSORSIC3,1,1
PTCD1,1,1
PTCD3,1,1
PTCH2,1,1
PTEN,1,1
PTGER2,1,1
PTGES,1,1
PTGR2,1,1
PTGS1,1,1
PTGS2,1,1
PTH,1,1
PTPN1,1,1
PTPN13,1,1
PTPN22,1,1
PTPN4,1,1
PTPN5,1,1
PTPRJ,1,1
PTX4,1,1
PUM2,1,1
PUM3,1,1
PUS10,1,1
PUS3,1,1
PWWP3A,1,1
PWWP3B,1,1
PYROXD1,1,1
QRICH2,1,1
R3HCC1,1,1
R3HDM2,1,1
RAB11FIP1,1,1
RAB19,1,1
RAB32,1,1
RAB3IP,1,1
RAB44,1,1
RABEP2,1,1
RABGAP1,1,1
RABGAP1L,1,1
RAD1,1,1
RAD50,1,1
RAD51AP1,1,1
RAD51AP2,1,1
RAD52,1,1
RAD9A,1,1
RAG1,1,1
RAI1,1,1
RAI14,1,1
RANBP2,1,1
RAPGEF6,1,1
RASGRF1,1,1
RASGRP3,1,1
RASSF1,1,1
RASSF6,1,1
RBBP8,1,1
RBM12B,1,1
RBM34,1,1
RBM44,1,1
RBSN,1,1
RC3H1,1,1
RCE1,1,1
RDH5,1,1
REC8,1,1
RECQL,1,1
REEP6,1,1
RELB,1,1
RELCH,1,1
RERGL,1,1
REST,1,1
RETSAT,1,1
RFC1,1,1
RFT1,1,1
RFTN1,1,1
RFWD3,1,1
RFX8,1,1
RGS11,1,1
RGS13,1,1
RGS20,1,1
RGS22,1,1
RGS9,1,1
RHO,1,1
RHPN2,1,1
RIMS1,1,1
RINT1,1,1
RIPK4,1,1
RIPOR3,1,1
RITA1,1,1
RMDN3,1,1
RMI2,1,1
RNF133,1,1
RNF14,1,1
RNF148,1,1
RNF168,1,1
RNF17,1,1
RNF175,1,1
RNF213,1,1
RNF25,1,1
RNF26,1,1
RNF41,1,1
RNF6,1,1
RNFT2,1,1
RNMT,1,1
ROBO1,1,1
ROBO4,1,1
ROCK1,1,1
ROM1,1,1
ROS1,1,1
RPGR,1,1
RPGRIP1L,1,1
RPIA,1,1
RPL23,1,1
RPP21,1,1
RPP25L,1,1
RPS6KB1,1,1
RPS6KL1,1,1
RPSA,1,1
RPTN,1,1
RPUSD2,1,1
RRN3,1,1
RSC1A1,1,1
RSPO1,1,1
RSRP1,1,1
RTKN,1,1
RTKN2,1,1
RTN3,1,1
RTN4,1,1
RTN4R,1,1
RTTN,1,1
RUBCN,1,1
RYR1,1,1
RYR3,1,1
S100A11,1,1
S100A16,1,1
S100A3,1,1
S100B,1,1
S1PR5,1,1
SAC3D1,1,1
SACS,1,1
SALL3,1,1
SAMD11,1,1
SAMD15,1,1
SAMD5,1,1
SAMD7,1,1
SARAF,1,1
SASH1,1,1
SAXO1,1,1
SC5D,1,1
SCAF11,1,1
SCAF4,1,1
SCAF8,1,1
SCD,1,1
SCD5,1,1
SCG2,1,1
SCLT1,1,1
SCML1,1,1
SCML2,1,1
SCN10A,1,1
SCN11A,1,1
SCN2B,1,1
SCN4A,1,1
SCN7A,1,1
SCNN1B,1,1
SCTR,1,1
SCYL3,1,1
SDCCAG8,1,1
SDHC,1,1
SEC14L3,1,1
SEC24A,1,1
SEL1L3,1,1
SELE,1,1
SELENOF,1,1
SELENOI,1,1
SELENON,1,1
SELENOO,1,1
SELPLG,1,1
SEMA4A,1,1
SEMA4C,1,1
SEMA6B,1,1
SENP6,1,1
SENP7,1,1
SERAC1,1,1
SERGEF,1,1
SERINC2,1,1
SERPINA10,1,1
SERPINA11,1,1
SERPINB11,1,1
SERPINB13,1,1
SERPINB8,1,1
SERPINC1,1,1
SERPINF2,1,1
SERPINH1,1,1
SERTAD1,1,1
SETD2,1,1
SETD4,1,1
SETD6,1,1
SETD9,1,1
SETX,1,1
SEZ6L,1,1
SFI1,1,1
SFRP1,1,1
SFSWAP,1,1
SFTPC,1,1
SFTPD,1,1
SFXN5,1,1
SGO1,1,1
SGO2,1,1
SGSM3,1,1
SH2B3/ATXN2,1,1
SH2D1A,1,1
SH2D4A,1,1
SH3RF2,1,1
SH3TC2,1,1
SHLD2,1,1
SHOC1,1,1
SHOC2,1,1
SHROOM4,1,1
SI,1,1
SIAE,1,1
SIGLEC1,1,1
SIGLEC15,1,1
SIM2,1,1
SIMC1,1,1
SIPA1,1,1
SIPA1L3,1,1
SIRPA,1,1
SIRT6,1,1
SKAP2,1,1
SKIV2L,1,1
SLBP,1,1
SLC10A5,1,1
SLC11A2,1,1
SLC12A4,1,1
SLC12A7,1,1
SLC12A8,1,1
SLC13A2,1,1
SLC13A4,1,1
SLC13A5,1,1
SLC14A1,1,1
SLC16A1,1,1
SLC16A10,1,1
SLC16A7,1,1
SLC18A2,1,1
SLC18B1,1,1
SLC19A3,1,1
SLC1A5,1,1
SLC22A14,1,1
SLC22A2,1,1
SLC22A3,1,1
SLC22A4,1,1
SLC24A1,1,1
SLC24A5,1,1
SLC25A32,1,1
SLC25A4,1,1
SLC26A4,1,1
SLC26A8,1,1
SLC27A6,1,1
SLC28A3,1,1
SLC2A1,1,1
SLC2A12,1,1
SLC34A2,1,1
SLC35A5,1,1
SLC35B1,1,1
SLC37A2,1,1
SLC37A3,1,1
SLC38A2,1,1
SLC39A12,1,1
SLC3A2,1,1
SLC44A5,1,1
SLC46A2,1,1
SLC46A3,1,1
SLC4A11,1,1
SLC4A2,1,1
SLC4A8,1,1
SLC5A12,1,1
SLC7A1,1,1
SLC7A7,1,1
SLC9C1,1,1
SLCO1B3,1,1
SLCO1B7,1,1
SLCO1C1,1,1
SLCO2A1,1,1
SLCO6A1,1,1
SLF1,1,1
SLF2,1,1
SLFN11,1,1
SLFN5,1,1
SLIT1,1,1
SLMAP,1,1
SMAD4,1,1
SMAD6,1,1
SMARCA4,1,1
SMCR8,1,1
SMIM24,1,1
SMIM7P1,1,1
SMPDL3B,1,1
SMURF2,1,1
SMYD4,1,1
SNAPC2,1,1
SNAPC5,1,1
SNPH,1,1
SNX29,1,1
SNX4,1,1
SOCS5P2,1,1
SOD2,1,1
SORBS1,1,1
SOX13,1,1
SOX30,1,1
SPAG16,1,1
SPAG17,1,1
SPAG5,1,1
SPAG8,1,1
SPAM1,1,1
SPARCL1,1,1
SPART,1,1
SPATA13,1,1
SPATA17,1,1
SPATA18,1,1
SPATA19,1,1
SPATA4,1,1
SPATA5L1,1,1
SPATA6L,1,1
SPATS1,1,1
SPC25,1,1
SPDEF,1,1
SPECC1,1,1
SPEF2,1,1
SPERT,1,1
SPG11,1,1
SPHK2,1,1
SPHKAP,1,1
SPINK5,1,1
SPIRE1,1,1
SPOCK2,1,1
SPPL2C,1,1
SPRR1A,1,1
SPRR3,1,1
SPTB,1,1
SPTBN2,1,1
SPTLC3,1,1
SPX,1,1
SRA1,1,1
SREBF1,1,1
SRFBP1,1,1
SRPX2,1,1
SRRD,1,1
SRRM2,1,1
SRRM3,1,1
SRRM5,1,1
SRSF5,1,1
SST,1,1
SSTR3,1,1
SSX2IP,1,1
ST13,1,1
ST18,1,1
ST5,1,1
ST6GAL1,1,1
ST7L,1,1
STAB1,1,1
STAB2,1,1
STAC,1,1
STAT4,1,1
STC2,1,1
STEAP3,1,1
STIMATE,1,1
STIP1,1,1
STK11IP,1,1
STOML1,1,1
STON1,1,1
STON1-GTF2A1L,1,1
STX11,1,1
STXBP4,1,1
SUCO,1,1
SUGP2,1,1
SULF2,1,1
SULT1A1,1,1
SULT1A3,1,1
SULT1B1,1,1
SUN2,1,1
SV2A,1,1
SVEP1,1,1
SVOPL,1,1
SYAP1,1,1
SYCP2,1,1
SYDE1,1,1
SYNE1,1,1
SYNE2,1,1
SYNJ2,1,1
SYNM,1,1
SYNPO,1,1
SYNRG,1,1
SYTL2,1,1
SYTL3,1,1
SZT2,1,1
Sep-04,1,1
TAAR9,1,1
TAF11,1,1
TAF1A,1,1
TAF1C,1,1
TAF6L,1,1
TANGO6,1,1
TAOK2,1,1
TAP1,1,1
TARS2,1,1
TAS2R3,1,1
TAS2R38,1,1
TATDN2,1,1
TBC1D10B,1,1
TBC1D20,1,1
TBC1D5,1,1
TBC1D8B,1,1
TBC1D9B,1,1
TBCE,1,1
TBRG1,1,1
TBX20,1,1
TBXAS1,1,1
TC2N,1,1
TCAF2,1,1
TCEANC,1,1
TCHH,1,1
TCHHL1,1,1
TCHP,1,1
TCN2,1,1
TCOF1,1,1
TCP11L2,1,1
TCTN1,1,1
TDP1,1,1
TDRD15,1,1
TDRD6,1,1
TECPR1,1,1
TEDC2,1,1
TEFM,1,1
TEKT3,1,1
TENT5B,1,1
TERB1,1,1
TERF2,1,1
TERF2IP,1,1
TERT,1,1
TESC,1,1
TET1,1,1
TEX14,1,1
TEX2,1,1
TEX38,1,1
TF,1,1
TFB2M,1,1
TFRC,1,1
TGFA,1,1
TGFB1,1,1
TGFB3,1,1
TGFBR2,1,1
TGFBR3,1,1
TGM2,1,1
TGM3,1,1
TGM5,1,1
TGM6,1,1
TGM7,1,1
THEG,1,1
THEG5,1,1
THEGL,1,1
THEMIS2,1,1
THNSL1,1,1
THSD4,1,1
THUMPD3,1,1
TICAM2,1,1
TIFA,1,1
TIMM21,1,1
TINF2,1,1
TJP2,1,1
TLR1,1,1
TLR2,1,1
TLR5,1,1
TLR7,1,1
TLR8,1,1
TLR9,1,1
TM104,1,1
TM6SF2,1,1
TM7SF3,1,1
TMBIM4,1,1
TMC2,1,1
TMC5,1,1
TMCO4,1,1
TMCO5A,1,1
TMED10,1,1
TMED3,1,1
TMED5,1,1
TMEM120A,1,1
TMEM131L,1,1
TMEM132C,1,1
TMEM136,1,1
TMEM154,1,1
TMEM156,1,1
TMEM171,1,1
TMEM192,1,1
TMEM2,1,1
TMEM214,1,1
TMEM232,1,1
TMEM245,1,1
TMEM253,1,1
TMEM26,1,1
TMEM262,1,1
TMEM35A,1,1
TMEM45B,1,1
TMEM53,1,1
TMEM63C,1,1
TMEM81,1,1
TMEM95,1,1
TMEM9B,1,1
TMF1,1,1
TMIGD2,1,1
TMPRSS11D,1,1
TMPRSS15,1,1
TMPRSS9,1,1
TMTC3,1,1
TMUB1,1,1
TNFAIP1,1,1
TNFRSF11A,1,1
TNFRSF1A,1,1
TNFRSF21,1,1
TNFRSF6B,1,1
TNFSF14,1,1
TNIP3,1,1
TNNI3K,1,1
TNRC6B,1,1
TNS1,1,1
TNS4,1,1
TOB2,1,1
TOGARAM1,1,1
TOPAZ1,1,1
TOPBP1,1,1
TOR2A,1,1
TP53,1,1
TP53BP1,1,1
TP53I3,1,1
TP53RK,1,1
TP63,1,1
TP73,1,1
TPI1,1,1
TPTE,1,1
TPX2,1,1
TRAF3IP3,1,1
TRAF6,1,1
TRANK1,1,1
TRDN,1,1
TREM18,1,1
TRIM14,1,1
TRIM27,1,1
TRIM37,1,1
TRIM39-RPP21,1,1
TRIM42,1,1
TRIM50,1,1
TRIM6,1,1
TRIM6-TRIM34,1,1
TRIM66,1,1
TRIP10,1,1
TRIP11,1,1
TRMT1,1,1
TRMT12,1,1
TRMT1L,1,1
TRMT2B,1,1
TRMT5,1,1
TROAP,1,1
TRPC4,1,1
TRPM4,1,1
TRPM8,1,1
TRPV3,1,1
TRUB2,1,1
TSC1,1,1
TSEN2,1,1
TSG101,1,1
TSGA10IP,1,1
TSGA13,1,1
TSHZ2,1,1
TSN6,1,1
TSNAXIP1,1,1
TSPAN8,1,1
TSPYL1,1,1
TSPYL5,1,1
TSR2,1,1
TSTD3,1,1
TTBK2,1,1
TTC12,1,1
TTC16,1,1
TTC21A,1,1
TTC23,1,1
TTC3,1,1
TTC39B,1,1
TTC4,1,1
TTI1,1,1
TTI2,1,1
TTLL6,1,1
TTN,1,1
TTR,1,1
TUB,1,1
TUBAL3,1,1
TUBB,1,1
TUBGCP6,1,1
TULP2,1,1
TULP3,1,1
TUT1,1,1
TUT7,1,1
TWISTNB,1,1
TXLNB,1,1
TXNDC16,1,1
TXNL4B,1,1
TXNRD2,1,1
TYK2,1,1
TYROBP,1,1
UACA,1,1
UBA7,1,1
UBD,1,1
UBE2I,1,1
UBE2J1,1,1
UBL3,1,1
UBQLN2,1,1
UBXN2A,1,1
UCHL1,1,1
UFSP2,1,1
UGT1A3,1,1
UGT1A4,1,1
UGT1A7,1,1
UHRF1BP1,1,1
UNC13B,1,1
UPF3A,1,1
UQCC1,1,1
URB2,1,1
URGCP,1,1
USF3,1,1
USH2A,1,1
USP19,1,1
USP26,1,1
USP28,1,1
USP32,1,1
USP35,1,1
USP43,1,1
USP45,1,1
USPL1,1,1
UTP11,1,1
UTP18,1,1
UTP6,1,1
UTRN,1,1
VCAM1,1,1
VCAN,1,1
VCP,1,1
VEGFC,1,1
VEGFD,1,1
VENTX,1,1
VGLL1,1,1
VILL,1,1
VIM,1,1
VIPAS39,1,1
VIRMA,1,1
VLDLR,1,1
VPS13B,1,1
VPS13C,1,1
VPS13D,1,1
VPS16,1,1
VPS26B,1,1
VPS37C,1,1
VWA3B,1,1
VWA5A,1,1
VWA5B1,1,1
VWA7,1,1
VWA8,1,1
VWF,1,1
WAPL,1,1
WAS,1,1
WASF2,1,1
WDCP,1,1
WDHD1,1,1
WDR1,1,1
WDR11,1,1
WDR18,1,1
WDR20,1,1
WDR34,1,1
WDR62,1,1
WDR63,1,1
WDR75,1,1
WDR78,1,1
WDR81,1,1
WDR83,1,1
WDR89,1,1
WDYHV1,1,1
WHRN,1,1
WNK1,1,1
WNK2,1,1
WNK3,1,1
WRAP53,1,1
WRN,1,1
WWC2,1,1
WWC3,1,1
WWP1,1,1
WWP2,1,1
XDH,1,1
XIRP1,1,1
XIRP2,1,1
XKR4,1,1
XKR8,1,1
XN536,1,1
XPNPEP2,1,1
XRCC1,1,1
XRCC5,1,1
XRN1,1,1
XRRA1,1,1
YLPM1,1,1
ZBBX,1,1
ZBTB17,1,1
ZBTB38,1,1
ZBTB41,1,1
ZBTB5,1,1
ZBTB8A,1,1
ZBTB9,1,1
ZC2HC1C,1,1
ZC3H12D,1,1
ZC3H6,1,1
ZC3HAV1,1,1
ZCCHC7,1,1
ZDHHC1,1,1
ZDHHC13,1,1
ZDHHC3,1,1
ZDHHC4,1,1
ZDHHC9,1,1
ZEB1,1,1
ZFAT,1,1
ZFC3H1,1,1
ZFHX2,1,1
ZFHX3,1,1
ZFP1,1,1
ZFP28,1,1
ZFPM2,1,1
ZFR2,1,1
ZFYVE1,1,1
ZFYVE28,1,1
ZFYVE9,1,1
ZGRF1,1,1
ZHX2,1,1
ZHX3,1,1
ZKSCAN2,1,1
ZMAT3,1,1
ZMYND12,1,1
ZNF142,1,1
ZNF263,1,1
ZNF280C,1,1
ZNF280D,1,1
ZNF3,1,1
ZNF407,1,1
ZNF438,1,1
ZNF473,1,1
ZNF483,1,1
ZNF518A,1,1
ZNF518B,1,1
ZNF572,1,1
ZNF618,1,1
ZNF638,1,1
ZNF646,1,1
ZNF653,1,1
ZNF711,1,1
ZNF800,1,1
ZNF804A,1,1
ZNF804B,1,1
ZNF831,1,1
ZP2,1,1
ZP3,1,1
ZSWIM1,1,1
ZSWIM3,1,1
ZUP1,1,1
ZXDC,1,1
